track_id,title,artist,genre,danceability,energy,valence,acousticness,instrumentalness,tempo,popularity
3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Sam Smith;Kim Petras,dance,0.714,0.472,0.238,0.013,4.51e-06,131.121,100
2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap;Quevedo,hip-hop,0.621,0.782,0.55,0.0125,0.033,128.033,99
5ww2BF9slyYgNOk37BlC4u,La Bachata,Manuel Turizo,reggaeton,0.835,0.679,0.85,0.583,1.98e-06,124.98,98
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta;Bebe Rexha,pop,0.561,0.965,0.304,0.00383,7.07e-06,128.04,98
1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,latino,0.65,0.715,0.187,0.0993,0.000291,106.672,97
6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Bad Bunny;Chencho Corleone,latino,0.911,0.712,0.425,0.0901,2.68e-05,92.005,97
5Eax0qFko2dh7Rl2lYs3bx,Efecto,Bad Bunny,latino,0.801,0.475,0.234,0.141,1.73e-05,98.047,96
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,pop,0.704,0.797,0.825,0.0826,0.000745,139.994,96
5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,dance,0.733,0.69,0.31,0.0635,1.18e-06,116.992,96
3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,Bad Bunny;Bomba Estéreo,latino,0.647,0.686,0.268,0.08,1.34e-06,79.928,95
4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,pop,0.52,0.731,0.662,0.342,0.00101,173.93,95
6Xom58OOXk2SoU711L2IXO,Moscow Mule,Bad Bunny,reggae,0.804,0.674,0.292,0.294,1.18e-06,99.968,94
6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Joji,pop,0.44,0.317,0.268,0.891,4.78e-06,169.914,94
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,rock,0.612,0.807,0.398,0.0495,0.0177,124.053,93
31i56LZnwE6uSu3exoHjtB,Neverita,Bad Bunny,reggae,0.876,0.498,0.428,0.0706,0.0,122.016,93
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,pop,0.445,0.537,0.131,0.695,1.65e-05,122.769,93
1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,dance,0.78,0.689,0.642,0.0368,9.69e-06,115.042,93
7dSZ6zGTQx66c2GF91xCrb,PROVENZA,KAROL G,reggae,0.87,0.516,0.53,0.656,0.00823,111.005,93
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,garage,0.464,0.417,0.479,0.136,0.022,67.528,92
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,pop,0.52,0.731,0.662,0.342,0.00101,173.93,92
0mBP9X2gPCuapvpZ7TGDk3,Left and Right (Feat. Jung Kook of BTS),Charlie Puth;Jung Kook;BTS,pop,0.881,0.592,0.719,0.619,1.32e-05,101.058,92
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Rema;Selena Gomez,pop,0.801,0.806,0.802,0.382,0.000669,106.999,92
4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,Nicki Minaj,hip-hop,0.95,0.891,0.912,0.0645,1.77e-05,133.01,92
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,pop,0.514,0.73,0.334,0.00146,9.54e-05,171.005,91
41oY4WCTj5kccfesTVFnvN,Tarot,Bad Bunny;Jhayco,latino,0.795,0.684,0.419,0.0225,0.0,114.011,91
79HZAZNnOE97rb2hnI0XQr,LOKERA,Rauw Alejandro;Lyanno;Brray,latin,0.834,0.828,0.58,0.21,5.91e-06,102.019,91
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),Drake;21 Savage,hip-hop,0.529,0.673,0.366,0.000307,2.41e-06,165.921,91
6i1g5ZRmJZAkDwBaUZ3f2i,Caile,Luar La L,latin,0.704,0.756,0.461,0.298,3.75e-06,121.737,91
75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),Kate Bush,singer-songwriter,0.629,0.547,0.197,0.72,0.00314,108.375,90
1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,The Weeknd;Gesaffelstein,pop,0.323,0.737,0.155,0.142,0.000162,113.26,90
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,pop,0.609,0.692,0.454,0.0157,0.0,116.959,90
4zN21mbAuaD0WqtmaTZZeP,Ferrari,James Hype;Miggy Dela Rosa,house,0.847,0.69,0.692,0.0127,6e-05,125.004,90
1797zYiX4cKosMH836X9Gt,La Corriente,Bad Bunny;Tony Dize,reggae,0.663,0.786,0.579,0.229,0.0,196.12,90
58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,Elley Duhé,pop,0.41,0.611,0.0899,0.0228,0.0,185.727,90
0hquQWY3xvYqN4qtiquniF,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,dance,0.801,0.601,0.74,0.0777,3.23e-05,159.969,90
1Fid2jjqsHViMX6xNH70hE,Atlantis,Seafret,folk,0.4,0.479,0.213,0.0529,2.14e-06,166.159,90
0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Stephen Sanchez,pop,0.539,0.508,0.227,0.727,0.0,101.358,90
4tYFy8ALRjIZvnvSLw5lxN,Party,Bad Bunny;Rauw Alejandro,reggaeton,0.829,0.799,0.471,0.0151,0.000543,97.013,90
1ga4PztXOIw1yBbdUt2X8v,GATÚBELA,KAROL G;Maldy,reggaeton,0.627,0.858,0.342,0.263,0.0,92.523,90
38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,hip-hop,0.637,0.715,0.308,0.148,0.0,141.872,90
2rurDawMfoKP4uHyb2kJBt,Te Felicito,Shakira;Rauw Alejandro,latin,0.695,0.636,0.575,0.234,0.0,174.14,90
7DbdUf8aHSYoliSjO6LZv6,"Sex, Drugs, Etc.",Beach Weather,rock,0.572,0.839,0.465,0.013,0.00976,143.969,90
7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd;Daft Punk,pop,0.679,0.587,0.486,0.141,6.35e-06,186.003,90
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,pop,0.461,0.593,0.175,0.17,0.0,134.17,89
